medal_type,code,country
Gold Medal,1879692,France
Gold Medal,1879672,France
Gold Medal,1879661,France
Gold Medal,1879669,France
Gold Medal,1879685,France
Gold Medal,1879670,France
Silver Medal,1908897,Fiji
Silver Medal,1908838,Fiji
Silver Medal,1913346,Fiji
Silver Medal,1977633,Fiji
Silver Medal,1913523,Fiji
Silver Medal,1982069,Fiji
Silver Medal,1913286,Fiji
Silver Medal,1913334,Fiji
Silver Medal,1908911,Fiji
Silver Medal,1908835,Fiji
Silver Medal,1908841,Fiji
Silver Medal,2484588,Fiji
Silver Medal,1982687,Fiji
Silver Medal,1908901,Fiji
Bronze Medal,1574106,South Africa
Bronze Medal,1574107,South Africa
Bronze Medal,1574108,South Africa
Bronze Medal,1574109,South Africa
Bronze Medal,1888936,South Africa
Bronze Medal,1574111,South Africa
Bronze Medal,1574134,South Africa
Bronze Medal,1888932,South Africa
Bronze Medal,1574114,South Africa
Bronze Medal,1574121,South Africa
Bronze Medal,1574118,South Africa
Bronze Medal,1574119,South Africa
Bronze Medal,1574112,South Africa
Gold Medal,1913945,China
Gold Medal,1913899,China
Silver Medal,1893896,Korea
Silver Medal,1893976,Korea
Bronze Medal,1930466,Kazakhstan
Bronze Medal,1930467,Kazakhstan
Gold Medal,1935916,United States
Gold Medal,1935933,United States
Gold Medal,1935871,United States
Gold Medal,1935896,United States
Gold Medal,1935869,United States
Gold Medal,1935911,United States
Silver Medal,1946186,Australia
Silver Medal,1946235,Australia
Silver Medal,1946179,Australia
Silver Medal,1946200,Australia
Silver Medal,1946196,Australia
Bronze Medal,1925669,Italy
Bronze Medal,1925681,Italy
Bronze Medal,1925675,Italy
Bronze Medal,1925634,Italy
Bronze Medal,1925635,Italy
Bronze Medal,1925636,Italy
Gold Medal,1946221,Australia
Gold Medal,1946159,Australia
Gold Medal,1946212,Australia
Gold Medal,1946177,Australia
Gold Medal,1946227,Australia
Gold Medal,1946218,Australia
Silver Medal,1935860,United States
Silver Medal,1935945,United States
Silver Medal,1935879,United States
Silver Medal,1935895,United States
Silver Medal,1935923,United States
Silver Medal,1935998,United States
Bronze Medal,1945230,China
Bronze Medal,1945206,China
Bronze Medal,1945164,China
Bronze Medal,1945159,China
Bronze Medal,1945125,China
Gold Medal,1902121,Korea
Gold Medal,1902147,Korea
Gold Medal,1902148,Korea
Silver Medal,1913382,China
Silver Medal,1913372,China
Silver Medal,1913380,China
Bronze Medal,1535429,Mexico
Bronze Medal,1535420,Mexico
Bronze Medal,1536479,Mexico
Gold Medal,1902130,Korea
Gold Medal,1902135,Korea
Gold Medal,1902144,Korea
Silver Medal,1541270,France
Silver Medal,1541272,France
Silver Medal,1541275,France
Bronze Medal,1565000,Türkiye
Bronze Medal,1565002,Türkiye
Bronze Medal,1565006,Türkiye
Gold Medal,1919492,Japan
Gold Medal,1919491,Japan
Gold Medal,1919480,Japan
Gold Medal,1919479,Japan
Gold Medal,1919490,Japan
Silver Medal,1918856,China
Silver Medal,1918858,China
Silver Medal,1918860,China
Silver Medal,1918864,China
Silver Medal,1918865,China
Bronze Medal,1959781,United States
Bronze Medal,1959855,United States
Bronze Medal,1959823,United States
Bronze Medal,1959865,United States
Bronze Medal,1959811,United States
Gold Medal,1901555,China
Gold Medal,1901554,China
Silver Medal,1900838,Great Britain
Silver Medal,1900857,Great Britain
Bronze Medal,1959146,Canada
Bronze Medal,1959132,Canada
Gold Medal,1970917,Great Britain
Gold Medal,1970898,Great Britain
Gold Medal,1970892,Great Britain
Gold Medal,1970912,Great Britain
Silver Medal,1899846,France
Silver Medal,1899847,France
Silver Medal,1899866,France
Silver Medal,1899848,France
Bronze Medal,1946432,Japan
Bronze Medal,1946434,Japan
Bronze Medal,1946438,Japan
Bronze Medal,1946428,Japan
Gold Medal,1959861,United States
Gold Medal,1959819,United States
Gold Medal,1959825,United States
Gold Medal,1959866,United States
Gold Medal,1959814,United States
Silver Medal,1560761,Italy
Silver Medal,1551061,Italy
Silver Medal,1560762,Italy
Silver Medal,1560760,Italy
Silver Medal,1560759,Italy
Bronze Medal,1953634,Brazil
Bronze Medal,1953624,Brazil
Bronze Medal,1953630,Brazil
Bronze Medal,1953620,Brazil
Bronze Medal,1953626,Brazil
Gold Medal,1924585,Italy
Gold Medal,1924588,Italy
Gold Medal,1924587,Italy
Gold Medal,1924586,Italy
Silver Medal,1916182,France
Silver Medal,1916183,France
Silver Medal,1916184,France
Silver Medal,1916185,France
Bronze Medal,1894213,Poland
Bronze Medal,1894214,Poland
Bronze Medal,1894223,Poland
Bronze Medal,1894217,Poland
Gold Medal,1926596,New Zealand
Gold Medal,1926667,New Zealand
Gold Medal,1926592,New Zealand
Gold Medal,1926629,New Zealand
Gold Medal,1926632,New Zealand
Gold Medal,1926635,New Zealand
Gold Medal,1926644,New Zealand
Gold Medal,1926676,New Zealand
Gold Medal,1926634,New Zealand
Gold Medal,1926647,New Zealand
Gold Medal,1926646,New Zealand
Gold Medal,1926593,New Zealand
Silver Medal,1960779,Canada
Silver Medal,1960762,Canada
Silver Medal,1960778,Canada
Silver Medal,1960797,Canada
Silver Medal,1960781,Canada
Silver Medal,1960837,Canada
Silver Medal,1960826,Canada
Silver Medal,1960812,Canada
Silver Medal,1960822,Canada
Silver Medal,1960765,Canada
Silver Medal,1960803,Canada
Silver Medal,1960834,Canada
Silver Medal,1960817,Canada
Silver Medal,1960832,Canada
Bronze Medal,1950500,United States
Bronze Medal,1950498,United States
Bronze Medal,1950485,United States
Bronze Medal,1950504,United States
Bronze Medal,1950494,United States
Bronze Medal,1950487,United States
Bronze Medal,1950505,United States
Bronze Medal,1950502,United States
Bronze Medal,1950499,United States
Bronze Medal,1950501,United States
Bronze Medal,1950496,United States
Bronze Medal,1950495,United States
Gold Medal,1956347,Serbia
Gold Medal,1956356,Serbia
Silver Medal,1564886,Türkiye
Silver Medal,1564893,Türkiye
Bronze Medal,1538159,India
Bronze Medal,1545464,India
Gold Medal,1903552,Great Britain
Gold Medal,1903602,Great Britain
Gold Medal,1903531,Great Britain
Gold Medal,1903546,Great Britain
Gold Medal,1903617,Great Britain
Gold Medal,1903621,Great Britain
Silver Medal,1935931,United States
Silver Medal,1935887,United States
Silver Medal,1935968,United States
Silver Medal,1935911,United States
Silver Medal,1935903,United States
Silver Medal,1935918,United States
Silver Medal,1935982,United States
Bronze Medal,1946196,Australia
Bronze Medal,1946237,Australia
Bronze Medal,1946179,Australia
Bronze Medal,1946231,Australia
Bronze Medal,1946211,Australia
Bronze Medal,1946172,Australia
Gold Medal,1902301,China
Gold Medal,1902313,China
Silver Medal,1980143,DPR Korea
Silver Medal,1980142,DPR Korea
Bronze Medal,1936429,Korea
Bronze Medal,1936435,Korea
Gold Medal,1901544,China
Gold Medal,1901545,China
Silver Medal,1980116,DPR Korea
Silver Medal,1980115,DPR Korea
Bronze Medal,1900855,Great Britain
Bronze Medal,1900856,Great Britain
Gold Medal,1927116,Korea
Gold Medal,1927149,Korea
Gold Medal,1927151,Korea
Gold Medal,1927115,Korea
Silver Medal,1946361,Hungary
Silver Medal,1946565,Hungary
Silver Medal,1946558,Hungary
Silver Medal,1946444,Hungary
Bronze Medal,1916230,France
Bronze Medal,1916231,France
Bronze Medal,1916232,France
Bronze Medal,1916234,France
Gold Medal,1965580,Netherlands
Gold Medal,1965600,Netherlands
Gold Medal,1965586,Netherlands
Gold Medal,1965584,Netherlands
Silver Medal,1547863,Italy
Silver Medal,1560781,Italy
Silver Medal,1547871,Italy
Silver Medal,1947115,Italy
Bronze Medal,1928529,Poland
Bronze Medal,1928520,Poland
Bronze Medal,1928551,Poland
Bronze Medal,1928530,Poland
Gold Medal,1901074,Great Britain
Gold Medal,1901091,Great Britain
Gold Medal,1901027,Great Britain
Gold Medal,1901039,Great Britain
Silver Medal,1965563,Netherlands
Silver Medal,1965565,Netherlands
Silver Medal,1965572,Netherlands
Silver Medal,1965573,Netherlands
Bronze Medal,1906511,Germany
Bronze Medal,1906506,Germany
Bronze Medal,1906494,Germany
Bronze Medal,1906483,Germany
Gold Medal,1950643,United States
Gold Medal,1950611,United States
Gold Medal,1950584,United States
Gold Medal,1950659,United States
Silver Medal,1924276,Italy
Silver Medal,1924277,Italy
Silver Medal,1924275,Italy
Silver Medal,1924279,Italy
Bronze Medal,1896544,Japan
Bronze Medal,1896545,Japan
Bronze Medal,1896517,Japan
Bronze Medal,1896535,Japan
Gold Medal,1551186,Romania
Gold Medal,1551238,Romania
Silver Medal,1965589,Netherlands
Silver Medal,1965588,Netherlands
Bronze Medal,1544454,Ireland
Bronze Medal,1543317,Ireland
Gold Medal,1944727,United States
Gold Medal,1944631,United States
Gold Medal,1944681,United States
Gold Medal,1944652,United States
Silver Medal,1927001,New Zealand
Silver Medal,1927020,New Zealand
Silver Medal,1927019,New Zealand
Silver Medal,1926991,New Zealand
Bronze Medal,1901100,Great Britain
Bronze Medal,1901026,Great Britain
Bronze Medal,1901025,Great Britain
Bronze Medal,1901050,Great Britain
Gold Medal,1927028,New Zealand
Gold Medal,1927024,New Zealand
Silver Medal,1550303,Romania
Silver Medal,1550560,Romania
Bronze Medal,1901075,Great Britain
Bronze Medal,1901099,Great Britain
Gold Medal,1965560,Netherlands
Gold Medal,1965567,Netherlands
Gold Medal,1965566,Netherlands
Gold Medal,1965557,Netherlands
Silver Medal,1901028,Great Britain
Silver Medal,1901037,Great Britain
Silver Medal,1901086,Great Britain
Silver Medal,1901092,Great Britain
Bronze Medal,1926998,New Zealand
Bronze Medal,1927007,New Zealand
Bronze Medal,1927003,New Zealand
Bronze Medal,1926999,New Zealand
Gold Medal,1946201,Australia
Gold Medal,1946188,Australia
Gold Medal,1946157,Australia
Gold Medal,1946227,Australia
Gold Medal,1946218,Australia
Gold Medal,1946150,Australia
Silver Medal,1935967,United States
Silver Medal,1935907,United States
Silver Medal,1935945,United States
Silver Medal,1935979,United States
Silver Medal,1935938,United States
Silver Medal,1935943,United States
Silver Medal,1936000,United States
Bronze Medal,1945224,China
Bronze Medal,1945222,China
Bronze Medal,1945171,China
Bronze Medal,1945223,China
Bronze Medal,1945169,China
Bronze Medal,1945159,China
Gold Medal,1902147,Korea
Gold Medal,1902135,Korea
Silver Medal,1553258,Germany
Silver Medal,1553249,Germany
Bronze Medal,1955601,United States
Bronze Medal,1955595,United States
Gold Medal,1913418,China
Gold Medal,1913432,China
Silver Medal,1891507,Korea
Silver Medal,1891502,Korea
Bronze Medal,1541614,Japan
Bronze Medal,1541619,Japan
Gold Medal,1901551,China
Gold Medal,1901549,China
Silver Medal,1536197,Mexico
Silver Medal,1535349,Mexico
Bronze Medal,1900840,Great Britain
Bronze Medal,1900848,Great Britain
Gold Medal,1970891,Great Britain
Gold Medal,1970896,Great Britain
Gold Medal,1979168,Great Britain
Gold Medal,1970925,Great Britain
Silver Medal,1951875,United States
Silver Medal,1951819,United States
Silver Medal,1951840,United States
Silver Medal,1951802,United States
Bronze Medal,1899865,
Bronze Medal,1899843,France
Bronze Medal,1899845,France
Bronze Medal,1899856,France
Gold Medal,1946450,Hungary
Gold Medal,1946370,Hungary
Gold Medal,1946278,Hungary
Gold Medal,1946379,Hungary
Silver Medal,1896548,Japan
Silver Medal,1896554,Japan
Silver Medal,1896549,Japan
Silver Medal,1896538,Japan
Bronze Medal,1914523,Czechia
Bronze Medal,1914535,Czechia
Bronze Medal,1914540,Czechia
Bronze Medal,1914531,Czechia
Gold Medal,1543322,Ireland
Gold Medal,1572444,Ireland
Silver Medal,1547870,Italy
Silver Medal,1547873,Italy
Bronze Medal,1977132,Greece
Bronze Medal,1977153,Greece
Gold Medal,1901048,Great Britain
Gold Medal,1901071,Great Britain
Silver Medal,1550661,Romania
Silver Medal,1550384,Romania
Bronze Medal,1977101,Greece
Bronze Medal,1977159,Greece
Gold Medal,1916685,Croatia
Gold Medal,1921490,Croatia
Silver Medal,1901101,Great Britain
Silver Medal,1901066,Great Britain
Bronze Medal,1977804,Switzerland
Bronze Medal,1976556,Switzerland
Gold Medal,1965559,Netherlands
Gold Medal,1965556,Netherlands
Silver Medal,1550789,Romania
Silver Medal,1550289,Romania
Bronze Medal,1945670,Australia
Bronze Medal,1945644,Australia
Gold Medal,1959270,Spain
Gold Medal,1959294,Spain
Silver Medal,1918833,New Zealand
Silver Medal,1918834,New Zealand
Bronze Medal,1950366,United States
Bronze Medal,1950381,United States
Gold Medal,1970495,Netherlands
Gold Medal,1970514,Netherlands
Silver Medal,1564653,Sweden
Silver Medal,1564657,Sweden
Bronze Medal,1559558,France
Bronze Medal,1559559,France
Gold Medal,1901342,Czechia
Gold Medal,1901333,Czechia
Silver Medal,1927719,China
Silver Medal,1927704,China
Bronze Medal,1972627,Canada
Bronze Medal,1972646,Canada
Gold Medal,1972116,Netherlands
Gold Medal,1972234,Netherlands
Gold Medal,1972078,Netherlands
Gold Medal,1972115,Netherlands
Gold Medal,1972240,Netherlands
Gold Medal,1972077,
Silver Medal,1960590,United States
Silver Medal,1960111,United States
Silver Medal,4979564,United States
Silver Medal,1960650,United States
Silver Medal,1960179,United States
Silver Medal,4979557,United States
Bronze Medal,1924406,Great Britain
Bronze Medal,1924426,Great Britain
Bronze Medal,1956844,Great Britain
Bronze Medal,1956853,Great Britain
Bronze Medal,1924383,Great Britain
Bronze Medal,1956846,Great Britain
Bronze Medal,1924464,Great Britain
Bronze Medal,1924506,Great Britain
Bronze Medal,1924509,Great Britain
Gold Medal,1913438,China
Gold Medal,1913439,China
Silver Medal,1913441,China
Silver Medal,1913442,China
Bronze Medal,1541630,Japan
Bronze Medal,1541629,Japan
Gold Medal,1914905,Germany
Gold Medal,1914936,Germany
Gold Medal,1914909,Germany
Gold Medal,1914907,Germany
Silver Medal,1892359,Denmark
Silver Medal,1892363,Denmark
Silver Medal,1892358,Denmark
Silver Medal,1892364,Denmark
Bronze Medal,1970905,Great Britain
Bronze Medal,1970910,Great Britain
Bronze Medal,1970921,Great Britain
Bronze Medal,1970907,Great Britain
Gold Medal,1897644,Ukraine
Gold Medal,1897638,Ukraine
Gold Medal,1897637,Ukraine
Gold Medal,1897633,Ukraine
Silver Medal,1927158,Korea
Silver Medal,1927123,Korea
Silver Medal,1927113,Korea
Silver Medal,1927122,Korea
Bronze Medal,1896542,Japan
Bronze Medal,1896519,Japan
Bronze Medal,1896541,Japan
Bronze Medal,1896522,Japan
Gold Medal,1891280,France
Gold Medal,1891283,France
Gold Medal,1891286,France
Gold Medal,1891289,France
Gold Medal,1891292,France
Gold Medal,1891300,France
Gold Medal,1891297,France
Gold Medal,1891311,France
Gold Medal,1891307,France
Gold Medal,1891304,France
Gold Medal,1891314,France
Gold Medal,1891318,France
Gold Medal,1891320,France
Gold Medal,1891323,France
Silver Medal,1896760,Japan
Silver Medal,1896733,Japan
Silver Medal,1896735,Japan
Silver Medal,1896744,Japan
Silver Medal,1896767,Japan
Silver Medal,1896762,Japan
Silver Medal,1896743,Japan
Silver Medal,1896763,Japan
Silver Medal,1896740,Japan
Silver Medal,1896752,Japan
Silver Medal,1896750,Japan
Silver Medal,1896765,Japan
Silver Medal,1896748,Japan
Silver Medal,1896764,Japan
Bronze Medal,1953817,Brazil
Bronze Medal,1953835,Brazil
Bronze Medal,1953812,Brazil
Bronze Medal,1953777,Brazil
Bronze Medal,1953781,Brazil
Bronze Medal,1953840,Brazil
Bronze Medal,1953832,Brazil
Bronze Medal,1953799,Brazil
Bronze Medal,1953816,Brazil
Bronze Medal,1953836,Brazil
Bronze Medal,1928067,Korea
Bronze Medal,1940097,Korea
Bronze Medal,1940098,Korea
Bronze Medal,1928071,Korea
Bronze Medal,1928070,Korea
Bronze Medal,1928082,Korea
Bronze Medal,1928064,Korea
Bronze Medal,1928074,Korea
Bronze Medal,1928066,Korea
Bronze Medal,1928079,Korea
Bronze Medal,1928072,Korea
Gold Medal,1901045,Great Britain
Gold Medal,1901068,Great Britain
Gold Medal,1901036,Great Britain
Gold Medal,1901051,Great Britain
Gold Medal,1901062,Great Britain
Gold Medal,1901056,Great Britain
Gold Medal,1901089,Great Britain
Gold Medal,1901064,Great Britain
Gold Medal,1901041,Great Britain
Silver Medal,1965596,Netherlands
Silver Medal,1965587,Netherlands
Silver Medal,1965601,Netherlands
Silver Medal,1965592,Netherlands
Silver Medal,1965583,Netherlands
Silver Medal,1965548,Netherlands
Silver Medal,1965597,Netherlands
Silver Medal,1965581,Netherlands
Silver Medal,1965562,Netherlands
Bronze Medal,1944696,United States
Bronze Medal,1944757,United States
Bronze Medal,1944764,United States
Bronze Medal,1944660,United States
Bronze Medal,1944642,United States
Bronze Medal,1944646,United States
Bronze Medal,1944625,United States
Bronze Medal,1944747,United States
Bronze Medal,1944731,United States
Gold Medal,1550630,Romania
Gold Medal,1550289,Romania
Gold Medal,1550303,Romania
Gold Medal,1550437,Romania
Gold Medal,1550285,Romania
Gold Medal,1550294,Romania
Gold Medal,1550789,Romania
Gold Medal,1550560,Romania
Gold Medal,1550542,Romania
Silver Medal,1967522,Canada
Silver Medal,4031142,Canada
Silver Medal,1967515,Canada
Silver Medal,1967511,Canada
Silver Medal,1967530,Canada
Silver Medal,1967517,Canada
Silver Medal,1967528,Canada
Silver Medal,1967508,Canada
Silver Medal,1967514,Canada
Bronze Medal,1901079,Great Britain
Bronze Medal,1901080,Great Britain
Bronze Medal,1901059,Great Britain
Bronze Medal,1901065,Great Britain
Bronze Medal,1901077,Great Britain
Bronze Medal,1901094,Great Britain
Bronze Medal,1901096,Great Britain
Bronze Medal,1901044,Great Britain
Bronze Medal,1901063,Great Britain
Gold Medal,1935984,United States
Gold Medal,1935992,United States
Gold Medal,1935896,United States
Gold Medal,1935860,United States
Gold Medal,1935901,United States
Gold Medal,1935923,United States
Gold Medal,1935957,United States
Gold Medal,1935998,United States
Silver Medal,1945132,China
Silver Medal,1945200,China
Silver Medal,1945125,China
Silver Medal,1945148,China
Silver Medal,1945128,China
Silver Medal,1945159,China
Bronze Medal,1946183,Australia
Bronze Medal,1946185,Australia
Bronze Medal,1946177,Australia
Bronze Medal,1946200,Australia
Bronze Medal,1946198,Australia
Bronze Medal,1946218,Australia
Bronze Medal,1946209,Australia
Bronze Medal,1946195,Australia
Gold Medal,1967767,Australia
Gold Medal,1967762,Australia
Silver Medal,1930790,United States
Silver Medal,1930804,United States
Bronze Medal,1930782,United States
Bronze Medal,1930801,United States
Gold Medal,1570107,Chinese Taipei
Gold Medal,1570105,Chinese Taipei
Silver Medal,1913424,China
Silver Medal,1913429,China
Bronze Medal,1566564,Malaysia
Bronze Medal,1569961,Malaysia
Gold Medal,1896550,Japan
Gold Medal,1896532,Japan
Gold Medal,1896553,Japan
Gold Medal,1896551,Japan
Silver Medal,1924291,Italy
Silver Medal,1924289,Italy
Silver Medal,1924287,Italy
Silver Medal,1924290,Italy
Bronze Medal,1916213,France
Bronze Medal,1916215,France
Bronze Medal,1916216,France
Bronze Medal,1916217,France
Gold Medal,1945132,China
Gold Medal,1945128,China
Gold Medal,1945149,China
Gold Medal,1945148,China
Gold Medal,1945127,China
Silver Medal,1935871,United States
Silver Medal,1935992,United States
Silver Medal,1935915,United States
Silver Medal,1935869,United States
Silver Medal,1935896,United States
Silver Medal,1935901,United States
Silver Medal,1935957,United States
Bronze Medal,1909299,France
Bronze Medal,1909294,France
Bronze Medal,1909307,France
Bronze Medal,1909278,France
Bronze Medal,1909284,France
Bronze Medal,1909292,France
Gold Medal,1935873,United States
Gold Medal,1935999,United States
Gold Medal,1935979,United States
Gold Medal,1935895,United States
Gold Medal,1935923,United States
Gold Medal,1935932,United States
Gold Medal,1935984,United States
Gold Medal,1935998,United States
Silver Medal,1946183,Australia
Silver Medal,1946174,Australia
Silver Medal,1946146,Australia
Silver Medal,1946212,Australia
Silver Medal,1946177,Australia
Silver Medal,1946198,Australia
Silver Medal,1946218,Australia
Silver Medal,1946190,Australia
Bronze Medal,1945157,China
Bronze Medal,1945200,China
Bronze Medal,1945164,China
Bronze Medal,1945206,China
Bronze Medal,1945202,China
Bronze Medal,1945159,China
Bronze Medal,1945125,China
Gold Medal,1562409,Italy
Gold Medal,1910330,Italy
Silver Medal,1979734,AIN
Silver Medal,1979732,AIN
Bronze Medal,1563687,Spain
Bronze Medal,1563681,Spain
Gold Medal,1970800,Netherlands
Gold Medal,1970792,Netherlands
Gold Medal,1970796,Netherlands
Gold Medal,1970797,Netherlands
Silver Medal,1568595,France
Silver Medal,1568603,France
Silver Medal,1568606,France
Silver Medal,1568608,France
Bronze Medal,1943480,Lithuania
Bronze Medal,1943486,Lithuania
Bronze Medal,1943471,Lithuania
Bronze Medal,1943515,Lithuania
Gold Medal,1898807,Germany
Gold Medal,1898816,Germany
Gold Medal,1898835,Germany
Gold Medal,1898870,Germany
Silver Medal,1958461,Spain
Silver Medal,1958573,Spain
Silver Medal,1958504,Spain
Silver Medal,1958475,Spain
Bronze Medal,1954736,United States
Bronze Medal,1954768,United States
Bronze Medal,1954785,United States
Bronze Medal,1954738,United States
Gold Medal,1957082,Great Britain
Gold Medal,1912522,Great Britain
Gold Medal,1912514,Great Britain
Gold Medal,1912564,Great Britain
Silver Medal,1945040,New Zealand
Silver Medal,1945068,New Zealand
Silver Medal,1945035,New Zealand
Silver Medal,1945038,New Zealand
Bronze Medal,1889702,Germany
Bronze Medal,1889704,Germany
Bronze Medal,1889703,Germany
Bronze Medal,1889705,Germany
Gold Medal,1915325,Italy
Gold Medal,1915333,Italy
Silver Medal,1944397,United States
Silver Medal,1944354,United States
Bronze Medal,1913978,China
Bronze Medal,1961747,China
Gold Medal,1558780,Germany
Gold Medal,1558784,Germany
Gold Medal,1558775,Germany
Gold Medal,1558773,Germany
Silver Medal,1930750,United States
Silver Medal,1930752,United States
Silver Medal,1930747,United States
Silver Medal,1930739,United States
Bronze Medal,1904251,Great Britain
Bronze Medal,1904248,Great Britain
Bronze Medal,1904232,Great Britain
Bronze Medal,1904244,Great Britain
Gold Medal,1969218,Netherlands
Gold Medal,1969182,Netherlands
Gold Medal,1969203,Netherlands
Gold Medal,1969204,Netherlands
Silver Medal,1912515,Great Britain
Silver Medal,1912568,Great Britain
Silver Medal,1912536,Great Britain
Silver Medal,1912567,Great Britain
Bronze Medal,1940262,Australia
Bronze Medal,1940263,Australia
Bronze Medal,1940260,Australia
Bronze Medal,1940267,Australia
Gold Medal,1908847,China
Gold Medal,1908846,China
Gold Medal,1908853,China
Gold Medal,1908850,China
Gold Medal,1908852,China
Gold Medal,1908855,China
Gold Medal,1908854,China
Gold Medal,1908851,China
Gold Medal,1908848,China
Silver Medal,1943038,United States
Silver Medal,1943040,United States
Silver Medal,1943042,United States
Silver Medal,1943043,United States
Silver Medal,1943044,United States
Silver Medal,1943046,United States
Silver Medal,1943048,United States
Silver Medal,1943049,United States
Silver Medal,1943045,United States
Bronze Medal,1954818,Spain
Bronze Medal,1954815,Spain
Bronze Medal,1954814,Spain
Bronze Medal,1954819,Spain
Bronze Medal,1954816,Spain
Bronze Medal,1954813,Spain
Bronze Medal,1954811,Spain
Bronze Medal,1954809,Spain
Bronze Medal,1954817,Spain
Gold Medal,1904165,Spain
Gold Medal,1905369,Spain
Silver Medal,1929767,Ecuador
Silver Medal,1930407,Ecuador
Bronze Medal,1939848,Australia
Bronze Medal,1939791,Australia
Gold Medal,1940264,Australia
Gold Medal,1940258,Australia
Gold Medal,1940265,Australia
Gold Medal,1940253,Australia
Gold Medal,1940256,Australia
Silver Medal,1912571,Great Britain
